time: 11.6.37 | Test: dfd

time: 11.6.37 | Test: sf 

time: 11.6.37 | Test: s 

time: 11.6.37 | Test: :(

time: 12.22.40 | vv fant0m vv: (;

time: 12.26.53 | vv fant0m vv: lol 

time: 12.26.53 | vv fant0m vv: :d 

time: 13.5.46 | nagger: gs 

time: 13.5.46 | nagger: dg 

time: 13.5.46 | nagger: sd

time: 13.5.47 | nagger: g

time: 13.5.47 | nagger: sdg

time: 13.5.47 | nagger: ds

time: 13.5.47 | nagger: g

time: 13.5.47 | nagger: sd

time: 13.5.47 | nagger: gsd

time: 13.5.47 | nagger: gs 

time: 13.5.47 | nagger: d 

time: 13.5.48 | nagger: gsd

time: 13.5.48 | nagger: g

time: 13.5.48 | nagger: sd

time: 13.5.48 | nagger: gs 

time: 13.5.48 | nagger: gs 

time: 13.5.48 | nagger: dg 

time: 13.5.48 | nagger: ds

time: 13.5.49 | nagger: g

time: 13.5.49 | nagger: ds

time: 13.5.49 | nagger: g

time: 4.2.58 | a: a 

time: 4.3.0 | a: :d 

time: 4.3.5 | a: o o 

time: 4.3.9 | a: o+o

time: 4.3.15 | a: ermahgerd 

time: 4.3.18 | a:   

time: 4.3.20 | a:     

time: 4.6.54 | a: a 

time: 4.6.57 | a: :)

time: 4.7.4 | a: hello there 

